dep,codgeo,libgeo,population
85,85024,Bois-de-Céné,2159.0
40,40042,Biarrotte,345.0
57,57457,Menskirch,138.0
37,37149,Marray,482.0
26,26204,Montlaur-en-Diois,145.0
32,32044,Béraut,292.0
31,31282,Launaguet,9260.0
88,88445,Saulcy-sur-Meurthe,2319.0
32,32070,Cahuzac-sur-Adour,202.0
89,89483,Voisines,514.0
91,91111,Briis-sous-Forges,3380.0
34,34016,Aumelas,557.0
17,17044,Berneuil,1162.0
54,54318,Liverdun,5694.0
41,41246,Seur,479.0
55,55467,Sampigny,697.0
68,68227,Muntzenheim,1283.0
38,38075,Chapareillan,2997.0
04,04214,Tartonne,127.0
61,61145,Domfront,4155.0
70,70052,Bassigney,118.0
60,60404,Mogneville,1490.0
50,50285,Magneville,312.0
64,64090,Baliracq-Maumusson,119.0
46,46175,Lissac-et-Mouret,930.0
17,17301,Romazières,77.0
22,22283,Saint-Clet,872.0
61,61116,Condé-sur-Huisne,1983.0
23,23091,Gioux,171.0
02,02229,Courtrizy-et-Fussigny,75.0
02,02573,Orgeval,55.0
02,02657,Rougeries,218.0
16,16312,Saint-Cybardeaux,822.0
81,81200,Palleville,444.0
49,49369,Vernoil-le-Fourrier,1283.0
71,71126,Chevagny-les-Chevrières,597.0
61,61044,Berjou,437.0
33,33063,Bordeaux,261804.0
37,37084,Couesmes,549.0
31,31292,Lescuns,74.0
67,67364,Osthouse,934.0
71,71293,Ménetreuil,410.0
82,82049,Donzac,1035.0
79,79141,Irais,208.0
17,17407,Sainte-Soulle,4961.0
53,53201,Saint-Berthevin,7353.0
36,36060,Crevant,704.0
91,91629,Valpuiseaux,621.0
55,55110,Chauvency-Saint-Hubert,223.0
24,24006,Allas-les-Mines,191.0
59,59218,Étroeungt,1273.0
76,76681,Sotteville-lès-Rouen,28965.0
92,92033,Garches,17898.0
43,43136,Monistrol-d'Allier,216.0
24,24081,Carlux,640.0
61,61171,Fontaine-les-Bassets,111.0
24,24337,Prats-du-Périgord,146.0
32,32378,Saint-Germé,504.0
54,54505,Sexey-aux-Forges,730.0
55,55460,Saint-Julien-sous-les-Côtes,139.0
77,77078,Chamigny,1378.0
02,02359,Grugies,1259.0
62,62494,Léchelle,46.0
89,89065,Cérilly,46.0
18,18014,Assigny,146.0
74,74169,Marnaz,5827.0
18,18228,Saint-Outrille,217.0
55,55482,Senoncourt-les-Maujouy,102.0
68,68009,Artzenheim,862.0
24,24528,Sceau-Saint-Angel,128.0
14,14061,Le Bény-Bocage,8745.0
08,08207,Ham-sur-Meuse,227.0
24,24151,Doissat,102.0
64,64332,Lème,168.0
25,25438,Osselle,958.0
32,32264,Monclar,223.0
32,32466,Viozan,101.0
38,38132,Les Côtes-de-Corps,74.0
34,34282,Saint-Paul-et-Valmalle,1342.0
62,62067,Avroult,567.0
88,88508,Ville-sur-Illon,521.0
72,72295,Saint-Longis,507.0
30,30179,Montfrin,3129.0
62,62428,Hénin-sur-Cojeul,528.0
64,64176,Castetbon,156.0
02,02267,Dommiers,301.0
52,52350,Neuvelle-lès-Voisey,66.0
15,15091,Landeyrat,88.0
42,42215,Saint-Denis-de-Cabanne,1259.0
67,67248,Krautergersheim,1745.0
88,88446,Saulxures-lès-Bulgnéville,237.0
08,08315,Neufmaison,72.0
10,10410,Villadin,103.0
44,44208,Treffieux,956.0
88,88052,Belrupt,92.0
08,08480,Villers-Semeuse,3608.0
32,32406,Saint-Sauvy,349.0
25,25286,Grand'Combe-des-Bois,122.0
11,11227,Mayronnes,42.0
72,72222,Nouans,261.0
50,50535,Sainte-Pience,911.0
33,33512,Sigalens,347.0
08,08025,Attigny,1106.0
14,14110,Brucourt,127.0
40,40217,Parentis-en-Born,7195.0
62,62357,Fresnoy,68.0
31,31466,Saiguède,803.0
89,89098,Cheney,231.0
60,60554,Rouvres-en-Multien,473.0
68,68240,Oberdorf,1244.0
35,35087,Cornillé,964.0
52,52316,Mathons,69.0
86,86124,Lavoux,1181.0
85,85011,Barbâtre,1755.0
76,76439,Mirville,352.0
02,02601,Pignicourt,182.0
21,21116,Bure-les-Templiers,134.0
03,03288,Treignat,398.0
33,33031,Bassanne,131.0
02,02112,Brancourt-le-Grand,556.0
60,60110,Broquiers,245.0
65,65449,Tournous-Devant,84.0
09,09175,Ludiès,96.0
51,51182,Courcemain,88.0
07,07015,Arras-sur-Rhône,536.0
49,49326,Sarrigné,848.0
63,63165,Giat,793.0
35,35157,Le Loroux,626.0
62,62823,Torcy,174.0
74,74173,Megève,2961.0
17,17362,Saint-Martial-de-Mirambeau,303.0
58,58122,Garchy,426.0
80,80094,Berteaucourt-lès-Thennes,478.0
17,17484,Port-des-Barques,1761.0
14,14622,Saint-Martin-de-Blagny,122.0
31,31171,Espanès,285.0
28,28149,La Ferté-Vidame,566.0
33,33480,Saint-Sulpice-de-Faleyrens,1319.0
76,76599,Saint-Léger-du-Bourg-Denis,3641.0
55,55439,Ronvaux,100.0
58,58190,Neuffontaines,99.0
75,75111,Paris 11e  Arrondissement,142583.0
51,51218,Val-de-Vière,130.0
62,62786,Selles,312.0
32,32307,Pavie,2510.0
14,14484,Ouilly-du-Houley,252.0
49,49308,Saint-Melaine-sur-Aubance,2201.0
07,07012,Arcens,370.0
76,76062,Beaumont-le-Hareng,262.0
62,62079,Bancourt,85.0
48,48098,Molezon,97.0
35,35010,Baguer-Pican,1771.0
12,12191,Privezac,334.0
08,08364,Rilly-sur-Aisne,126.0
85,85226,Saint-Hilaire-de-Riez,12682.0
80,80512,Mareuil-Caubert,829.0
35,35265,Saint-Domineuc,2553.0
56,56254,Trédion,1349.0
34,34072,Celles,27.0
04,04158,Quinson,408.0
71,71561,Vauban,230.0
80,80625,Pierrepont-sur-Avre,1495.0
50,50549,Saint-Sauveur-la-Pommeraye,404.0
50,50372,Neufmesnil,176.0
42,42137,Margerie-Chantagret,823.0
65,65189,Gayan,272.0
14,14744,Vienne-en-Bessin,277.0
76,76572,Saint-Denis-d'Aclon,125.0
76,76684,Tancarville,1218.0
12,12234,Sainte-Juliette-sur-Viaur,625.0
31,31448,Rebigue,482.0
16,16053,Bors (Canton de Baignes-Sainte-Radegonde),120.0
25,25103,Busy,662.0
77,77329,Nanteau-sur-Lunain,689.0
60,60549,Rotangy,227.0
36,36239,Vigoux,466.0
71,71554,Varenne-l'Arconce,111.0
69,69086,Fleurieux-sur-l'Arbresle,2287.0
59,59431,Nieppe,7606.0
36,36199,Sainte-Lizaigne,1116.0
32,32028,Barcugnan,105.0
33,33293,Montussan,3451.0
57,57661,Sturzelbronn,170.0
57,57245,Gavisse,581.0
25,25001,Abbans-Dessous,246.0
11,11290,Plaigne,119.0
74,74209,Peillonnex,1363.0
57,57177,Dieuze,2794.0
22,22205,Plorec-sur-Arguenon,422.0
84,84001,Althen-des-Paluds,2802.0
82,82142,Pompignan,1721.0
80,80824,Wiencourt-l'Équipée,258.0
81,81252,Saint-Germier,157.0
43,43017,Azérat,295.0
27,27248,Folleville,194.0
46,46009,Assier,684.0
61,61242,Le Mage,216.0
57,57020,Ancerville,301.0
07,07039,Bozas,257.0
10,10299,Pouan-les-Vallées,507.0
02,02581,Paars,317.0
76,76046,Auzouville-sur-Ry,689.0
29,29299,Tréouergat,327.0
52,52395,Poinson-lès-Grancey,57.0
76,76505,Pommereux,96.0
88,88088,La Chapelle-aux-Bois,674.0
42,42049,Changy,670.0
33,33460,Saint-Pey-de-Castets,596.0
02,02221,Coupru,156.0
24,24158,Dussac,417.0
61,61170,Fleuré,202.0
12,12185,Pont-de-Salars,1645.0
17,17313,Saint-Bris-des-Bois,386.0
59,59617,Vieux-Mesnil,637.0
55,55389,Nubécourt,244.0
14,14243,Équemauville,1568.0
38,38207,Lavaldens,158.0
70,70413,Plancher-Bas,1863.0
68,68326,Sternenberg,149.0
50,50533,Saint-Patrice-de-Claids,178.0
10,10131,Droupt-Saint-Basle,348.0
25,25572,Trouvans,102.0
79,79223,Puihardy,63.0
31,31525,Salles-sur-Garonne,598.0
25,25162,Corcelles-Ferrières,213.0
80,80420,Harponville,174.0
06,06051,La Croix-sur-Roudoule,99.0
27,27310,Hacqueville,412.0
27,27180,Courcelles-sur-Seine,2140.0
74,74123,Faverges,7581.0
75,75103,Paris 3e  Arrondissement,32793.0
28,28283,Nottonville,279.0
51,51529,Selles,437.0
87,87080,Jouac,181.0
71,71147,Cortevaix,251.0
57,57312,Helstroff,487.0
84,84096,Rasteau,785.0
2A,2A018,Arbellara,155.0
49,49008,Angrie,922.0
12,12038,Brousse-le-Château,164.0
62,62150,Boisjean,498.0
87,87082,Ladignac-le-Long,1144.0
