codgeo,libgeo,revenu_median
01457,Vonnas,22000.0
02001,Abbécourt,21150.0
02002,Achery,22340.0
02003,Acy,23020.0
02004,Agnicourt-et-Séchelles,20880.0
02005,Aguilcourt,24020.0
02006,Aisonville-et-Bernoville,21910.0
02007,Aizelles,22340.0
02008,Aizy-Jouy,21950.0
02009,Alaincourt,22980.0
02010,Allemant,21980.0
02011,Ambleny,24380.0
02012,Ambrief,
02013,Amifontaine,23230.0
02014,Amigny-Rouy,23040.0
02015,Ancienville,
02016,Aelain,21900.0
02017,Anguilcourt-le-Sart,21630.0
02018,Anizy-le-Gra,20610.0
02019,Annois,21860.0
02020,Any-Martin-Rieux,19970.0
02021,Archon,
02022,Arcy-Sainte-Restitue,23140.0
02023,Armentières-sur-Ourcq,22610.0
02024,Arrancy,
02025,Artemps,23930.0
02027,Assis-sur-Serre,19990.0
02028,Athies-sous-Laon,22820.0
02029,Attilly,24790.0
02030,Aubencheul-aux-Bois,22440.0
02031,Aubenton,18600.0
02032,Aubigny-aux-Kaisnes,20000.0
02033,Aubigny-en-Laonnois,26440.0
02034,Audignicourt,21270.0
02035,Audigny,19950.0
02036,Augy,
02037,Aulnois-sous-Laon,21970.0
02038,Les Autels,
02039,Autremencourt,20530.0
02040,Autreppes,21270.0
02041,Autreville,23160.0
02042,Azy-sur-Marne,23970.0
02043,Bagneux,
02044,Bancigny,
02046,Barenton-Bugny,23250.0
02047,Barenton-Cel,23580.0
02048,Barenton-sur-Serre,22840.0
02049,Barisis-aux-Bois,23500.0
02050,Barzy-en-Thiérache,21140.0
02051,Barzy-sur-Marne,25580.0
02052,Bassoles-Aulers,22970.0
02053,Vallées en Champagne,26580.0
02054,Bazoches-et-Saint-Thibaut,24020.0
02055,Beaumé,
02056,Beaumont-en-Beine,22300.0
02057,Beaurevoir,19030.0
02058,Beaurieux,20510.0
02059,Beautor,17760.0
02060,Beauvois-en-Vermaois,22740.0
02061,Becquigny,19290.0
02062,Belleau,28100.0
02063,Bellenglise,22500.0
02064,Belleu,20140.0
02065,Bellicourt,21080.0
02066,Benay,22250.0
02067,Bergues-sur-Sambre,23420.0
02068,Berlancourt,
02069,Berlise,
02070,Bernot,22110.0
02071,Berny-Rivière,23920.0
02072,Berrieux,25760.0
02073,Berry-au-Bac,21950.0
02074,Bertaucourt-Epourdon,21750.0
02075,Berthenicourt,22760.0
02076,Bertricourt,28980.0
02077,Berzy-le-Sec,24940.0
02078,Besmé,21360.0
02079,Besmont,20070.0
02080,Besny-et-Loizy,26260.0
02081,Béthancourt-en-Vaux,24090.0
02082,Beugneux,22980.0
02083,Beuvardes,23490.0
02084,Bézu-le-Guéry,25230.0
02085,Bézu-Saint-Germain,23830.0
02086,Bichancourt,22450.0
02087,Bieuxy,
02088,Bièvres,
02089,Billy-sur-Aisne,22590.0
02090,Billy-sur-Ourcq,22540.0
02091,Blanzy-lès-Fismes,23880.0
02093,Blérancourt,19760.0
02094,Blesmes,25760.0
02095,Bohain-en-Vermaois,16190.0
02096,Bois-lès-Pargny,23420.0
02097,Boncourt,19640.0
02098,Bonneil,26710.0
02099,Bonnesvalyn,22880.0
02100,Bony,19850.0
02101,Bosmont-sur-Serre,21500.0
02102,Bouconville-Vauclair,23830.0
02103,Boué,20360.0
02104,Bouffignereux,27530.0
02105,Bouresches,23410.0
02106,Bourg-et-Comin,20250.0
02107,Bourguignon-sous-Coucy,
02108,Bourguignon-sous-Montbavin,25450.0
02109,La Bouteille,20990.0
02110,Braine,20580.0
02111,Brancourt-en-Laonnois,23310.0
02112,Brancourt-le-Gra,22020.0
02114,Brasles,22080.0
02115,Braye-en-Laonnois,22290.0
02116,Braye-en-Thiérache,21300.0
02117,Bray-Saint-Christophe,
02118,Braye,22420.0
02119,Brécy,23500.0
02120,Brenelle,22100.0
02121,Breny,21500.0
02122,Brie,
02123,Brissay-Choigny,22810.0
02124,Brissy-Hamégicourt,21140.0
02125,Brumetz,23200.0
02126,Brunehamel,17550.0
02127,Bruyères-sur-Fère,20700.0
