dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco,cluster
23,23140,Moutier-Rozeille,428.0,21740.0,Faible,0.0515520747083856,0
58,58034,Blismes,185.0,20160.0,Très faible,0.0233308555730269,0
77,77054,La Brosse-Montceaux,730.0,23650.0,Moyen,0.0829293384708348,3
79,79108,Doux,221.0,22000.0,Faible,0.026413197022547,0
38,38006,Allevard,3974.0,24230.0,Moyen,0.4431910440005345,3
49,49323,Saint-Sylvain-d'Anjou,7775.0,23980.0,Moyen,0.8740565937706822,3
03,03182,Monteignet-sur-l'Andelot,262.0,23340.0,Moyen,0.0300548366123654,3
45,45150,Fréville-du-Gâtinais,180.0,21990.0,Faible,0.0215194637624081,0
80,80252,Douilly,251.0,20740.0,Très faible,0.0311324229536914,0
89,89465,Villeperrot,310.0,22140.0,Faible,0.0368946062040154,0
55,55279,Laneuville-sur-Meuse,446.0,19810.0,Très faible,0.0568058637640095,0
89,89428,Vallery,564.0,24280.0,Moyen,0.0627976883351097,3
41,41177,Le Plessis-Dorin,154.0,22340.0,Faible,0.0182178768683255,0
52,52031,Autreville-sur-la-Renne,365.0,23630.0,Moyen,0.0414908381651967,3
16,16421,Vouthon,410.0,20930.0,Très faible,0.0505745038658055,0
80,80541,Mesnil-Saint-Georges,206.0,22340.0,Faible,0.0243693677589289,0
44,44035,La Chapelle-sur-Erdre,20331.0,28210.0,Élevé,1.9772957633938035,2
60,60348,Larbroye,516.0,21920.0,Faible,0.061818611882871,0
27,27658,Le Tremblay-Omonville,376.0,23500.0,Moyen,0.0429164712725884,3
40,40100,Le Frêche,410.0,22290.0,Faible,0.0485756278048495,0
70,70431,Quenoche,252.0,24390.0,Moyen,0.0279591713590748,3
12,12090,Druelle,3188.0,26070.0,Élevé,0.3345061731451422,3
76,76420,Mauquenchy,363.0,22360.0,Faible,0.0429161127940983,0
12,12297,Le Vibal,521.0,21480.0,Faible,0.063239405530646,0
37,37216,Saint-Épain,1514.0,21870.0,Faible,0.1816538844780094,0
31,31488,Saint-Jean,11243.0,25940.0,Élevé,1.1849298573670153,3
52,52072,Brethenay,383.0,24110.0,Moyen,0.0428779348348996,3
09,09305,Tabre,347.0,21320.0,Faible,0.0423181706725641,0
78,78356,Magny-les-Hameaux,9385.0,28610.0,Élevé,0.8992829043602633,2
14,14401,Manvieux,139.0,23660.0,Moyen,0.0157856720085023,3
27,27319,La Haye-de-Routot,293.0,23120.0,Moyen,0.033842018469176,3
01,01235,Marlieux,1182.0,22870.0,Moyen,0.1375823955102272,3
10,10359,Saint-Phal,513.0,22290.0,Faible,0.0607787733265556,0
32,32249,Mauvezin,2239.0,21410.0,Faible,0.2723334920575713,0
21,21434,Montlay-en-Auxois,194.0,22300.0,Faible,0.0229776108688544,0
14,14734,Vendes,338.0,25210.0,Élevé,0.0365072343475827,3
10,10240,Messon,469.0,26990.0,Élevé,0.0476638377652079,3
66,66133,Palau-del-Vidre,3135.0,21740.0,Faible,0.3776069023616567,0
50,50473,Saint-Georges-d'Elle,381.0,22200.0,Faible,0.0452627129904788,0
73,73214,Rochefort,246.0,25370.0,Élevé,0.0264292568589048,3
41,41038,La Chapelle-Montmartin,409.0,21620.0,Faible,0.0494394892703609,0
46,46231,Puy-l'Évêque,1900.0,20250.0,Très faible,0.2390011941535089,0
80,80404,Guyencourt-Saulcourt,143.0,23540.0,Moyen,0.016301450860099,3
02,02739,Terny-Sorny,336.0,24660.0,Moyen,0.0369536834591886,3
63,63111,Clémensat,121.0,23700.0,Moyen,0.0137241339074719,3
58,58306,Verneuil,283.0,20210.0,Très faible,0.0356391786837367,0
33,33145,Cursan,664.0,26030.0,Élevé,0.069766510183206,3
77,77247,Lescherolles,435.0,24710.0,Moyen,0.0477638532639537,3
55,55567,Ville-sur-Cousances,140.0,21890.0,Faible,0.0167875476927132,0
05,05156,Saint-Sauveur,505.0,22410.0,Faible,0.0596137182336383,0
80,80640,Pozières,263.0,21170.0,Très faible,0.0322154223202183,0
78,78190,Croissy-sur-Seine,10399.0,38780.0,Élevé,0.617326630800779,2
55,55226,Han-lès-Juvigny,124.0,23090.0,Moyen,0.0143355548202349,3
22,22076,Hénanbihen,1378.0,22810.0,Faible,0.1606927868118252,0
25,25616,Villars-Saint-Georges,284.0,25520.0,Élevé,0.0303591131547864,3
47,47307,Thézac,207.0,19020.0,Très faible,0.0269512732362297,0
76,76099,Blacqueville,707.0,25470.0,Élevé,0.0757038101759576,3
40,40304,Soorts-Hossegor,3520.0,29760.0,Élevé,0.3227797681674579,2
59,59278,Hallennes-lez-Haubourdin,4718.0,24380.0,Moyen,0.5236269494854323,3
41,41138,Meslay,307.0,25650.0,Élevé,0.0326747049617709,3
