dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco
43,43262,Vieille-Brioude,1219.0,23260.0,Moyen,0.14018487765286144
34,34126,Lamalou-les-Bains,2454.0,21110.0,Très faible,0.3011234373175188
50,50174,Équilly,194.0,21280.0,Faible,0.02368696810512054
27,27323,La Haye-Saint-Sylvestre,290.0,20820.0,Très faible,0.03588656468977437
84,84039,Courthézon,6064.0,22150.0,Faible,0.7214887219376174
26,26133,Fay-le-Clos,177.0,22920.0,Moyen,0.020570714590434316
23,23232,Saint-Pierre-Bellevue,211.0,19720.0,Très faible,0.02694259805676869
31,31465,Saccourvielle,20.0,,,
14,14042,Baron-sur-Odon,1055.0,26490.0,Élevé,0.10910920184415733
33,33174,Fronsac,1120.0,23270.0,Moyen,0.12875973799828103
80,80469,Lawarde-Mauger-l'Hortoy,156.0,24540.0,Moyen,0.0172241744936896
24,24242,Liorac-sur-Louyre,260.0,22630.0,Faible,0.030487161671460337
16,16244,Nersac,2289.0,21610.0,Faible,0.27677396511479185
68,68336,Traubach-le-Bas,445.0,26400.0,Élevé,0.04616593539420638
80,80458,Lahoussoye,451.0,25860.0,Élevé,0.04766143595932407
41,41236,Sasnières,88.0,,,
18,18119,Jussy-Champagne,205.0,21620.0,Faible,0.024780184108616123
31,31351,Mondonville,5680.0,23920.0,Moyen,0.6397607882785988
90,90045,Fêche-l'Église,739.0,24660.0,Moyen,0.08127610737006065
32,32419,Sauviac,107.0,,,
43,43022,Beaumont,268.0,21410.0,Faible,0.03259730945575218
55,55013,Arrancy-sur-Crusne,464.0,25640.0,Élevé,0.04940120376761524
15,15016,Ayrens,620.0,21360.0,Faible,0.07552281438629185
21,21428,Monthelie,153.0,29310.0,Élevé,0.014276728500004846
62,62735,Sailly-Labourse,2577.0,20990.0,Très faible,0.31732498022241906
56,56083,Hennebont,15746.0,22060.0,Faible,1.8785236472909888
04,04069,Demandolx,119.0,22910.0,Moyen,0.013834294347488368
38,38550,Villard-Reculas,65.0,,,
45,45097,Chuelles,1222.0,22410.0,Faible,0.14425339342872479
54,54584,Villey-Saint-Étienne,1015.0,26920.0,Élevé,0.1034077806979101
76,76481,Octeville-sur-Mer,6122.0,29440.0,Élevé,0.5684027769906187
88,88394,Romain-aux-Bois,48.0,,,
14,14714,Le Tronquay,779.0,23210.0,Moyen,0.08972454918616184
57,57402,Liederschiedt,118.0,23960.0,Moyen,0.013273884923870632
14,14483,Ouffières,194.0,23700.0,Moyen,0.022003983289665702
31,31369,Mont-de-Galié,31.0,,,
31,31134,Cazeneuve-Montaut,86.0,,,
